origem;destino;veiculo;custo;fluxo;caminho
3;10;11;0.26039999999999996;17.0;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504}
3;11;11;0.7601999999999999;34.0;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504}
3;12;11;0.31919999999999993;25.5;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996}
3;13;11;0.49874999999999997;25.5;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999}
3;14;11;0.42419999999999997;25.5;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 12): 0.05879999999999999, (10, 14): 0.1638}
3;15;11;0.4284;25.5;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 12): 0.05879999999999999, (10, 14): 0.1638, (10, 15): 0.168}
3;16;11;0.9702;34.0;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 12): 0.05879999999999999, (10, 14): 0.1638, (10, 15): 0.168, (12, 11): 0.44099999999999995, (13, 16): 0.84}
3;17;11;0.5544;34.0;{(3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 9): 0.105, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 12): 0.05879999999999999, (10, 14): 0.1638, (10, 15): 0.168, (12, 11): 0.44099999999999995, (13, 16): 0.84, (14, 16): 0.5459999999999999, (14, 17): 0.1575}
4;0;11;inf;inf;{}
4;1;11;inf;inf;{}
4;2;11;inf;inf;{}
4;3;11;inf;inf;{}
4;4;11;0;0;{}
4;5;11;inf;inf;{}
4;6;11;0.51975;17.0;{(4, 7): 0.0378, (4, 8): 0.34650000000000003, (8, 6): 0.17325000000000002}
4;7;11;0.0378;8.5;{(4, 7): 0.0378}
4;8;11;0.34650000000000003;8.5;{(4, 7): 0.0378, (4, 8): 0.34650000000000003}
4;9;11;inf;inf;{}
4;10;11;0.0756;17.0;{(4, 7): 0.0378, (4, 8): 0.34650000000000003, (8, 6): 0.17325000000000002, (6, 10): 0.04409999999999999}
